rmk, comment
ald,Liderou sempre
awk,Desajeitado
blk,Terceira pior trombada
baulked,Terceira pior trombada
bmp,Trombou em curvas
chl,Desafiado em curvas
clrrn,Corridas limpas
crd,Truncado em curvas
crowded,Truncado em retas
crdnrln,Truncado no final 
crdrnln,Truncado em reta 
crdrnup,Truncado sempre no início
displd,Liderou com muita disputa 
dsp,Disputa em curvas 
ep,Mantém ritmo forte
evch,Teve muitas chances de ganhar
fcdck,Trombadas muito feias
ckd,Trombadas muito feias
checked,Trombadas muito feias
fell,Caiu em curvas
hldon,Manteve posição 
imp,Impedido de passa - segunda pior trombada
impeded,Impedido de passa - segunda pior trombada
ko,Derrubado em curvas
lame,Sofreu contusões
ld,Libera bem em curvas
ldnrln,Tomou liderança no final 
mid,Corre pelo meio 
mid-w,Corre pelo meio 
msdbrk,Passou reto em curvas
qaw,Largadas rápidas
rls,Galgo correm perto dos trilhos 
saw,Largadas lentas
snled,Liderança no início 
vqaw,Largadas muito rápidas
vsaw,Largadas muito lentas
vw,Galgo corre muito aberto 
w,galgo corre aberto
wide,galgo corre muito aberto
